attendance,previous_marks,study_hours,assignments_completed,final_marks
78,82,2.0,10,83.3
91,49,5.7,3,67.7
68,42,4.0,3,51.8
54,48,4.5,3,46.9
82,57,5.4,7,70.3
47,94,4.1,4,72.1
100,91,2.5,10,82.4
60,74,1.5,5,49.6
78,55,3.3,2,54.0
97,50,2.1,5,67.1
58,79,3.1,2,70.2
62,52,5.4,6,61.2
50,81,2.6,5,55.0
50,87,1.6,9,66.4
63,58,2.8,9,64.9
92,60,5.5,8,83.0
75,59,2.4,4,70.0
79,94,4.2,2,78.0
63,94,1.0,2,70.8
42,94,2.8,4,62.3
61,79,2.5,7,68.3
92,75,1.8,8,72.0
41,63,3.7,7,55.7
63,49,3.4,7,57.9
83,79,4.5,7,79.1
69,35,2.3,4,44.6
77,59,2.2,7,61.1
41,41,1.8,9,53.1
99,43,2.1,3,68.3
60,58,3.8,6,59.1
72,35,3.0,2,46.0
51,78,1.3,2,56.0
97,42,2.3,6,77.7
61,58,2.2,4,54.5
100,45,4.5,5,73.9
83,85,4.6,4,86.4
64,51,1.7,2,49.4
88,42,6.0,2,68.8
66,69,2.3,6,66.3
98,69,5.9,7,90.4
81,67,3.1,4,61.2
67,93,1.2,10,76.9
99,39,2.7,6,64.8
55,76,4.2,9,75.3
54,73,4.4,2,67.3
86,92,3.7,6,84.9
90,75,3.2,4,66.9
83,62,3.8,2,67.1
94,41,4.0,5,59.7
91,43,1.4,6,54.2
96,42,2.8,8,63.9
42,46,2.2,2,40.0
76,68,5.0,4,63.3
90,67,3.4,3,74.1
46,82,5.9,10,73.5
60,89,3.0,7,81.0
48,57,5.1,4,52.9
78,58,5.0,9,81.5
57,71,1.8,9,64.3
43,69,3.5,3,46.9
64,78,4.5,7,69.2
99,74,5.3,8,93.8
53,56,2.6,3,52.8
89,61,2.1,3,61.5
97,69,4.6,2,62.4
48,35,5.0,9,63.8
65,69,2.7,2,67.6
92,71,1.5,10,83.9
41,81,5.7,7,69.2
59,48,3.0,8,59.8
67,37,3.6,8,60.2
86,35,5.2,4,53.8
99,39,4.4,3,63.9
46,60,4.7,10,72.3
83,89,2.0,9,83.8
100,48,3.7,8,66.7
47,73,4.5,10,67.5
86,61,2.1,5,68.0
74,43,1.9,5,55.8
53,49,5.9,2,44.9
56,49,3.6,9,48.4
75,60,2.3,4,59.0
89,76,6.0,8,84.2
79,94,5.8,3,81.7
43,47,3.8,3,45.5
41,85,5.4,8,79.4
45,66,1.9,7,56.6
93,73,2.4,4,71.6
81,83,4.5,10,79.3
43,86,5.2,7,56.6
93,95,5.3,7,97.9
68,66,3.0,2,69.5
57,38,5.4,5,54.3
65,64,5.3,7,72.7
83,71,5.7,7,82.5
73,57,4.9,6,76.8
49,73,4.3,2,64.2
75,79,3.9,9,81.8
53,49,2.9,6,53.5
70,77,5.7,6,78.2
